"ID","NOMBRE_ELECCION","AÑO_ELECCION","PAIS","REGION","DEPTO","MUNICIPIO","PARTIDO","NOMBRE_PARTIDO","SEXO","RAZA","ANALFABETOS","ALFABETOS","PRIMARIA","NIVEL_MEDIO","UNIVERSITARIOS"
1,"Elecciones Municipales",2005,"EL SALVADOR","REGION 1","Cabañas   ","Sensuntepeque","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2298,4800,1471,450,2879
2,"Elecciones Municipales",2005,"EL SALVADOR","REGION 1","Cabañas   ","Ilobasco","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2448,5536,1807,2966,763
3,"Elecciones Municipales",2005,"EL SALVADOR","REGION 1","Cabañas   ","Victoria","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1724,3638,1421,1183,1034
4,"Elecciones Municipales",2005,"EL SALVADOR","REGION 1","Cabañas   ","San Isidro","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",583,2772,1747,895,130
5,"Elecciones Municipales",2005,"EL SALVADOR","REGION 1","Cabañas   ","Jutiapa","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",31,5010,2576,602,1832
6,"Elecciones Municipales",2005,"EL SALVADOR","REGION 1","Cabañas   ","Tejutepeque","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",883,5972,2129,2947,896
7,"Elecciones Municipales",2005,"EL SALVADOR","REGION 1","Cabañas   ","Dolores","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1160,4563,139,1879,2545
8,"Elecciones Municipales",2005,"EL SALVADOR","REGION 1","Cabañas   ","Cinquera","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",689,3472,275,263,2934
9,"Elecciones Municipales",2005,"EL SALVADOR","REGION 1","Cabañas   ","Guacotecti","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",49,3094,678,1521,895
10,"Elecciones Municipales",2005,"EL SALVADOR","REGION 2","Chalatenango","Chalatenango","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",904,2996,2060,693,243
11,"Elecciones Municipales",2005,"EL SALVADOR","REGION 2","Chalatenango","Nueva Concepción","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2807,6042,1986,1752,2304
12,"Elecciones Municipales",2005,"EL SALVADOR","REGION 2","Chalatenango","La Palma","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",819,6088,2541,2503,1044
13,"Elecciones Municipales",2005,"EL SALVADOR","REGION 2","Chalatenango","Tejutla","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1732,7004,2080,2113,2811
14,"Elecciones Municipales",2005,"EL SALVADOR","REGION 2","Chalatenango","La Reina","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",970,7497,1661,2958,2878
15,"Elecciones Municipales",2005,"EL SALVADOR","REGION 2","Chalatenango","Arcatao","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1708,3195,542,1376,1277
16,"Elecciones Municipales",2005,"EL SALVADOR","REGION 2","Chalatenango","San Ignacio","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",101,6321,2785,2374,1162
17,"Elecciones Municipales",2005,"EL SALVADOR","REGION 2","Chalatenango","Dulce Nombre de María","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1972,5427,2691,1734,1002
18,"Elecciones Municipales",2005,"EL SALVADOR","REGION 2","Chalatenango","Citalá","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",913,7974,2804,2298,2872
19,"Elecciones Municipales",2005,"EL SALVADOR","REGION 2","Chalatenango","Agua Caliente","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",384,4204,418,2953,833
20,"Elecciones Municipales",2005,"EL SALVADOR","REGION 2","Chalatenango","Concepción Quezaltepeque","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2734,5026,1018,1300,2708
21,"Elecciones Municipales",2005,"EL SALVADOR","REGION 2","Chalatenango","Nueva Trinidad","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",20,2335,494,130,1711
22,"Elecciones Municipales",2005,"EL SALVADOR","REGION 2","Chalatenango","Las Vueltas","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1841,3121,847,2261,13
23,"Elecciones Municipales",2005,"EL SALVADOR","REGION 2","Chalatenango","Comalapa","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",284,2988,1172,390,1426
24,"Elecciones Municipales",2005,"EL SALVADOR","REGION 2","Chalatenango","San Rafael","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2960,873,565,151,157
25,"Elecciones Municipales",2005,"EL SALVADOR","REGION 2","Chalatenango","San José Las Flores","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1032,3416,824,1788,804
26,"Elecciones Municipales",2005,"EL SALVADOR","REGION 2","Chalatenango","Ojos de Agua","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",191,4533,2018,1752,763
27,"Elecciones Municipales",2005,"EL SALVADOR","REGION 2","Chalatenango","Nombre de Jesús","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2278,5538,271,2903,2364
28,"Elecciones Municipales",2005,"EL SALVADOR","REGION 2","Chalatenango","Potonico","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2048,4457,2129,542,1786
29,"Elecciones Municipales",2005,"EL SALVADOR","REGION 2","Chalatenango","San Francisco Morazán","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1907,1289,1013,81,195
30,"Elecciones Municipales",2005,"EL SALVADOR","REGION 2","Chalatenango","Santa Rita","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",851,5333,1271,1611,2451
31,"Elecciones Municipales",2005,"EL SALVADOR","REGION 2","Chalatenango","La Laguna","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",474,3360,1757,1373,230
32,"Elecciones Municipales",2005,"EL SALVADOR","REGION 2","Chalatenango","San Isidro Labrador","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2284,3295,1372,1314,609
33,"Elecciones Municipales",2005,"EL SALVADOR","REGION 2","Chalatenango","San Antonio de La Cruz","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",646,5482,2719,1035,1728
34,"Elecciones Municipales",2005,"EL SALVADOR","REGION 2","Chalatenango","El Paraíso","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2208,2555,1698,115,742
35,"Elecciones Municipales",2005,"EL SALVADOR","REGION 2","Chalatenango","San Miguel de Mercedes","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",443,4216,359,1024,2833
36,"Elecciones Municipales",2005,"EL SALVADOR","REGION 2","Chalatenango","San Luis del Carmen","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2599,4536,2672,1278,586
37,"Elecciones Municipales",2005,"EL SALVADOR","REGION 2","Chalatenango","San José Cancasque","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1873,3891,1729,116,2046
38,"Elecciones Municipales",2005,"EL SALVADOR","REGION 2","Chalatenango","San Antonio Los Ranchos","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2036,6144,2810,1066,2268
39,"Elecciones Municipales",2005,"EL SALVADOR","REGION 2","Chalatenango","El Carrizal","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2120,2814,293,1459,1062
40,"Elecciones Municipales",2005,"EL SALVADOR","REGION 2","Chalatenango","San Fernando","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1284,6198,2188,1192,2818
41,"Elecciones Municipales",2005,"EL SALVADOR","REGION 2","Chalatenango","Azacualpa","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",236,3050,838,1121,1091
42,"Elecciones Municipales",2005,"EL SALVADOR","REGION 2","Chalatenango","San Francisco Lempa","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1281,4832,383,2133,2316
43,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","Cuscatlán  ","Cojutepeque","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2218,4385,2242,193,1950
44,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","Cuscatlán  ","Suchitoto","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1202,4332,2416,954,962
45,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","Cuscatlán  ","San Pedro Perulapán","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2407,5708,612,2245,2851
46,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","Cuscatlán  ","San José Guayabal","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2481,5238,1665,2478,1095
47,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","Cuscatlán  ","Tenancingo","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1487,4224,88,2913,1223
48,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","Cuscatlán  ","San Rafael Cedros","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",54,1768,364,354,1050
49,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","Cuscatlán  ","Candelaria","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",498,6897,1313,2586,2998
50,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","Cuscatlán  ","El Carmen","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",892,4120,1985,1704,431
51,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","Cuscatlán  ","Monte San Juan","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",992,3892,988,860,2044
52,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","Cuscatlán  ","San Cristóbla","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",934,4545,2654,121,1770
53,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","Cuscatlán  ","Santa Cruz Michapa","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1712,4337,1010,1580,1747
54,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","Cuscatlán  ","San Bartolomé Perulapía","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2048,7003,1898,2939,2166
55,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","Cuscatlán  ","San Ramón","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2803,3357,1086,1488,783
56,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","Cuscatlán  ","El Rosario","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2851,4690,2440,116,2134
57,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","Cuscatlán  ","Oratorio de Concepción","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1934,5143,1108,1201,2834
58,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","Cuscatlán  ","Santa Cruz Analquito","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",887,5596,2689,1322,1585
59,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Libertad  ","Nueva San Salvador","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",502,5840,2879,2598,363
60,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Libertad  ","Quezaltepeque","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2214,4203,1743,957,1503
61,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Libertad  ","Ciudad Arce","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2249,4240,1331,1513,1396
62,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Libertad  ","San Juan Opico","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1200,5185,2471,2684,30
63,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Libertad  ","Colón","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2948,3077,1634,752,691
64,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Libertad  ","Puerto de la Libertad","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",979,4177,1765,1530,882
65,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Libertad  ","Antiguo Cuscatlán","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2056,3712,431,1076,2205
66,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Libertad  ","Comasagua","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1782,4968,2190,635,2143
67,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Libertad  ","San Pablo Tacachico","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2144,4055,1869,1204,982
68,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Libertad  ","Jayaque","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2796,4418,34,2874,1510
69,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Libertad  ","Huizucar","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",381,3423,635,1547,1241
70,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Libertad  ","Tepecoyo","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2513,5217,1610,2034,1573
71,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Libertad  ","Teotepeque","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2658,5908,1362,2374,2172
72,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Libertad  ","Chiltiupán","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",233,5497,2950,432,2115
73,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Libertad  ","Nuevo Cuscatlán","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2670,4467,888,840,2739
74,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Libertad  ","Tamanique","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2023,3052,2326,599,127
75,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Libertad  ","Sacacoyo","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",835,2558,266,1521,771
76,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Libertad  ","San José Villa Nueva","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",773,5981,2804,1387,1790
77,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Libertad  ","Zaragoza","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",623,5315,752,2380,2183
78,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Libertad  ","Talnique","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1478,5341,2870,1810,661
79,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Libertad  ","San Matías","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1593,4655,1927,2074,654
80,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Libertad  ","Jicalapa","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",2623,7547,2559,2440,2548
81,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Paz  ","Zacatecoluca","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",206,4262,863,2261,1138
82,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Paz  ","Santiago Nonualco","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",1343,5506,2458,2357,691
83,"Elecciones Municipales",2005,"EL SALVADOR","REGION 3","La Paz  ","San Juan Nonualco","ARENA","Alianza Nac. Rep.","hombres","INDIGENAS",812,5566,2552,2645,369
